Nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
132.0,52.0,19,"24,16402322°C","76,7433897%","6,436691764","61,94626051",cotton
11.0,36.0,31,"27,92063282°C","51,77965917%","6,47544932","100,2585673",mango
32.0,73.0,81,"20,45078582°C","15,40312102%","5,988992796","92,68373702",chickpea
82.0,78.0,46,"25,05802193°C","84,97323747%","5,738678895","110,4408803",banana
29.0,139.0,205,"23,64142354°C","93,74461474%","6,155939453","116,6912176",apple
39.0,24.0,14,"30,55472573°C","90,90343769%","7,189259647","106,0711985",orange
123.0,39.0,24,"25,00755095°C","78,17952126%","7,453106264","86,06411872",cotton
21.0,78.0,19,"27,16159076°C","66,76017239%","6,92009048","69,85112265",blackgram
131.0,35.0,18,"24,49112609°C","82,24415809%","7,057693366","64,02949379",cotton
26.0,18.0,30,"32,06097197°C","51,08494181%","6,336234624","96,59816497",mango
24.0,37.0,21,"30,573999°C","58,22686794%","5,818219385","62,74803826",mothbeans
2.0,24.0,38,"24,55981624°C","91,63536236%","5,922935513","111,9684622",pomegranate
65.0,39.0,45,"23,66805429°C","70,89000744%","6,768001309","184,4633281",jute
2.0,67.0,18,"34,51934775°C","47,52980027%","5,921666758","129,0064612",pigeonpeas
14.0,121.0,203,"9,724457611°C","83,74765639%","6,158689406","74,46411148",grapes
97.0,22.0,50,"26,26028739°C","86,14585891%","6,7698938","58,97878791",watermelon
28.0,46.0,16,"29,008124°C","84,96089355%","6,664187809","45,91011391",mungbean
24.0,42.0,23,"28,22471276°C","82,35916228%","6,428054409","44,01206619",mungbean
18.0,74.0,15,"24,9035819°C","22,27512704%","5,70836603","146,4727237",kidneybeans
129.0,60.0,22,"24,58453146°C","79,12404171%","5,947448589","71,94608134",cotton
39.0,145.0,201,"36,73126647°C","80,58931938%","5,775600435","72,24230804",grapes
34.0,35.0,21,"28,44524991°C","82,67639542%","6,684381357","58,18713162",mungbean
119.0,72.0,55,"25,99069521°C","83,33983116%","6,220643671","112,0777152",banana
89.0,47.0,38,"102,0°C","72,24850829%","6,002524871","151,8869972",jute
56.0,65.0,45,"38,2016825°C","93,97379963%","6,751298936","218,0908814",papaya
4.0,46.0,15,"31,01274943°C","62,40392519%","3,504752314","63,77192383",mothbeans
32.0,12.0,30,"25,39241091°C","98,08951196%","5,579845008","218,080385",coconut
32.0,55.0,52,"37,58899717°C","91,99740365%","6,9677596","159,6577388",papaya
9.0,8.0,40,"22,48720144°C","89,9224883%","6,553509673","111,6631582",Pomegranate
101.0,92.0,45,"28,22776705°C","80,6430384%","5,758054257","98,00403016",banana
134.0,52.0,18,"23,9643129°C","76,59175937%","7,994679507","76,13090645",cotton
71.0,60.0,22,"26,07470121°C","59,37147589%","6,2048017","85,75692395",maize
32.0,57.0,22,"28,6899851°C","87,50436797%","6,769415888","44,56598352",mungbean
20.0,139.0,202,"23,50201428°C","92,21083961%","5,66999105","107,9868949",apple
18.0,23.0,44,"23,71028128°C","89,61794165%","6,184400085","105,6499907",pomegranate
42.0,74.0,83,"19,2582557°C","14,2804191%","7,545258424","65,78042032",chickpea
115.0,17.0,55,"27,57826922°C","94,11878202%","6,776533055","28,08253201",muskmelon
4.0,80.0,16,"29,19585548°C","68,01965728%","7,441976825","44,93261911",lentil
53.0,67.0,17,"31,77681682°C","69,01852894%","7,296972161","61,46892873",blackgram
12.0,37.0,30,"31,09779147°C","47,41196659%","4,546466109","90,28624348",mango
60.0,46.0,22,"100,0°C","65,61418761%","6,625404348","87,9298085",maize
81.0,34.0,30,"25,17787724°C","62,26244581%","6,647765997","135,0119649",coffee
57.0,60.0,17,"26,23773129°C","67,88521396%","7,504608385","73,58663968",blackgram
88.0,50.0,40,"25,63215038°C","79,95150917%","7,051822472","182,2582277",jute
98.0,7.0,45,"27,79161808°C","92,51054946%","6,157724816","26,85422624",muskmelon
131.0,60.0,17,"25,32023717°C","81,79475917%","7,425041316","83,46532547",cotton
3.0,77.0,25,"24,84906168°C","22,89464642%","5,608165195","62,21292186",kidneybeans
23.0,72.0,84,"19,02061277°C","17,13159126%","6,920251378","79,92698081",chickpea
37.0,65.0,16,"22,8352024°C","18,97267518%","5,683548308","63,59276673",kidneybeans
11.0,45.0,19,"28,70012137°C","44,359648%","3,828031463","44,11622138",mothbeans
96.0,18.0,50,"25,3310446°C","84,30533791%","6,904241707","41,53218699",watermelon
22.0,54.0,20,"28,56149805°C","83,63802195%","6,689825155","41,013132",mungbean
91.0,35.0,39,"23,79391957°C","80,41817957%","6,970859754","206,2611855",rice
37.0,71.0,16,"26,28663931°C","68,51966729%","7,324863481","46,13833007",lentil
5.0,8.0,5,"11,03367937°C","92,22706805%","6,562594972","112,7715925",orange
6.0,144.0,198,"21,11478672°C","90,31528693%","5,559363609","104,5086618",apple
34.0,60.0,23,"20,12574053°C","24,96969858%","5,659254981","100,0497183",kidneybeans
40.0,72.0,77,"17,02498456°C","16,98861173%","7,485996067","88,55123143",chickpea
120.0,60.0,15,"22,31871914°C","83,86129998%","7,288377241","65,35747011",cotton
8.0,26.0,26,"25,54759871°C","91,64194826%","5,702484758","212,867626",coconut
57.0,58.0,77,"18,72649425°C","17,58406365%","7,978996755","81,20176515",chickpea
31.0,40.0,22,"29,40889385°C","86,16063492%","6,365513634","53,35486977",mungbean
7.0,63.0,24,"19,55750776°C","64,45268309%","6,818681086","53,04669416",lentil
49.0,68.0,22,"28,56840626°C","61,53278622%","7,127064207","63,49726331",blackgram
85.0,35.0,32,"26,24928198°C","54,28617819%","6,854011265","133,1120232",coffee
34.0,56.0,17,"33,4126864°C","35,42910045%","4,548202098","139,6702541",pigeonpeas
83.0,15.0,49,"28,92705913°C","91,39356832%","6,438008153","23,20076686",muskmelon
32.0,25.0,35,"18,09903225°C","85,70786282%","5,892913826","107,0050976",pomegranate
68.0,70.0,54,"31,29986342°C","92,76039164%","6,986228647","54,77830202",papaya
14.0,67.0,25,"25,28710601°C","60,85993533%","7,241151936","49,37369982",lentil
,55.0,22,"30,88883074°C","52,62696801%","8,634929739","55,51932414",mothbeans
109.0,10.0,53,"26,81938687°C","87,8274604%","6,551750306","46,06193778",watermelon
8.0,50.0,21,"28,62911222°C","89,1148059%","6,218923893","50,49913241",mungbean
10.0,18.0,35,"27,79797651°C","99,64573002%","6,381975465","181,6942283",coconut
24.0,70.0,16,"25,17885316°C","68,93307305%","6,54803469","35,03484812",lentil
58.0,55.0,47,"26,05375792°C","93,69111672%","6,742490027","240,6863901",papaya
3.0,28.0,33,"30,33723921°C","48,88704844%","5,755049971","94,42850522",mango
40.0,58.0,15,"29,46416042°C","87,60890009%","6,978400282","43,15411472",mungbean
89.0,60.0,19,"25,19192419°C","66,6902901%","5,913664501","78,06639649",maize
59.0,63.0,18,"31,65531175°C","60,13263713%","6,52669158","66,69096751",blackgram
134.0,56.0,18,"23,80834611°C","83,91902605%","6,691268104","70,97358303",cotton
94.0,37.0,41,"24,7634518°C","87,06071115%","6,463538707","179,1630865",jute
97.0,36.0,45,"22,2286982°C","81,85872947%","6,939083505","278,0791793",rice
100.0,56.0,40,"26,38905406°C","83,31240346%","7,433313409","176,1516409",jute
30.0,120.0,200,"38,06099482°C","82,24729637%","6,234904253","65,70148216",grapes
63.0,58.0,50,"43,03714283°C","94,6428898%","6,720744449","41,5856585",papaya
82.0,23.0,49,"26,81383586°C","87,21986949%","6,873283991","51,70497792",watermelon
27.0,61.0,18,"33,30711818°C","67,07780816%","5,266227032","108,5090168",pigeonpeas
32.0,56.0,21,"27,38538997°C","88,66663953%","6,702772465","58,29933073",mungbean
2.0,120.0,203,"23,12652652°C","94,71203306%","5,893492999","108,6211833",apple
30.0,41.0,15,"24,83206631°C","44,17085032%","5,88509677","52,0810886",mothbeans
36.0,76.0,75,"18,38120357°C","16,63805158%","8,736337905","70,52056697",chickpea
0.0,70.0,21,"36,30049702°C","56,03021253%","4,672437054","101,6073988",pigeonpeas
31.0,13.0,33,"27,63834933°C","95,48763389%","5,85971872","205,5463111",coconut
24.0,70.0,21,"19,14729038°C","45,3733757%","5,517208078","132,7748215",pigeonpeas
13.0,64.0,20,"19,1345771°C","62,57526895%","6,590571088","36,46946971",lentil
15.0,140.0,195,"13,28504331°C","83,54193816%","5,69945282","65,80006004",grapes
84.0,50.0,44,"25,48591986°C","81,40633547%","5,935344406","182,6549356",rice
67.0,,44,"26,73072391°C","81,78596776%","7,868474653","280,4044392",rice
62.0,42.0,36,"22,78133816°C","82,06719137%","6,430010215","248,7183228",rice
,40.0,25,"24,484692°C","84,44932014%","6,187455799","90,94342484",cotton
38.0,138.0,204,"25,11108456°C","83,25447587%","6,325480034","73,01026829",grapes
121.0,45.0,22,"22,45942937°C","81,30681027%","6,443785385","64,23026638",cotton
28.0,122.0,197,"19,89363946°C","82,73366439%","5,856575335","69,66256816",grapes
111.0,50.0,15,"25,16820129°C","80,30351815%","7,884550475","84,62419032",cotton
106.0,21.0,52,"28,89578588°C","94,78993038%","6,286515359","23,0362503",muskmelon
33.0,77.0,21,"30,32992227°C","65,62971858%","7,01285529","71,64631281",blackgram
27.0,24.0,41,"24,32770134°C","90,88292835%","6,610251186","110,4606459",Pomegranate
118.0,33.0,30,"24,13179691°C","67,22512329%","6,362607851","173,3228386",coffee
69.0,67.0,52,"27,71948962°C","94,43877142%","6,827305908","82,83061083",papaya
38.0,120.0,197,"17,5438296°C","82,94703302%","6,323722572","73,77063744",grapes
108.0,72.0,46,"25,16278237°C","84,97849241%","6,110844721","90,94554618",banana
120.0,20.0,45,"25,66576039°C","88,6984228%","6,114128685","54,22722466",watermelon
31.0,5.0,14,"17,66545409°C","91,69865887%","6,583411671","110,6857506",orange
93.0,81.0,50,"27,71822477°C","76,57853189%","6,036079266","102,2099836",banana
27.0,139.0,205,"22,48403042°C","93,40819246%","5,772179946","105,5473627",apple
118.0,18.0,52,"28,04943594°C","90,83130708%","6,562832807","20,76223014",muskmelon
21.0,38.0,21,"29,75538903°C","86,45193297%","6,637677489","37,54602719",mungbean
28.0,67.0,21,"21,79792649°C","63,73086065%","6,250994223","46,62370222",lentil
17.0,136.0,195,"41,20733624°C","81,61051026%","6,389783283","65,90227462",Grapes
66.0,58.0,35,"23,5643831°C","79,46283115%","7,321619041","185,25947",jute
74.0,39.0,38,"23,24113501°C","84,59201843%","7,782051313","233,0453455",rice
16.0,14.0,30,"29,70931288°C","96,30484325%","6,37466756","209,8453993",coconut
56.0,79.0,15,"29,48439992°C","63,19915325%","7,454532137","71,89090748",blackgram
82.0,26.0,47,"28,50416396°C","93,46806467%","6,565312653","24,20007242",muskmelon
35.0,41.0,18,"28,70562673°C","81,59200689%","6,705008504","59,87065439",mungbean
5.0,55.0,18,"33,50876355°C","45,70976142%","7,322097972","126,6738117",pigeonpeas
69.0,55.0,38,"22,70883798°C","82,63941394%","5,70080568","271,3248604",rice
76.0,44.0,17,"20,41683147°C","62,5542482%","5,855442401","65,27798457",maize
24.0,61.0,17,"22,6371424°C","65,44544859%","6,233269045","38,30411077",lentil
110.0,71.0,54,"28,67208915°C","82,20793613%","5,725418961","94,37987496",banana
40.0,9.0,41,"24,37766782°C","85,4017118%","5,78270695","106,128338",Pomegranate
84.0,7.0,51,"26,81530456°C","87,65694462%","6,399669044","55,74073582",watermelon
89.0,41.0,38,"23,12844351°C","74,68322732%","6,344751947","199,8362913",jute
72.0,42.0,43,"26,56767277°C","80,90424543%","6,352771037","181,2915605",jute
16.0,75.0,21,"18,50692825°C","23,61670065%","5,679224346","87,0513289",kidneybeans
102.0,11.0,47,"27,98780984°C","92,78226196%","6,504906979","27,14509034",muskmelon
68.0,40.0,19,"26,14384005°C","66,20569924%","6,655426355","107,2361366",maize
89.0,52.0,45,"24,89326318°C","77,01222585%","7,207457208","196,469984",jute
2.0,79.0,15,"21,53577883°C","65,47227704%","7,505283615","35,75107592",lentil
89.0,28.0,33,"26,44414097°C","53,83876189%","6,993236001","175,3723314",coffee
113.0,33.0,34,"26,00373964°C","62,1445102%","6,559817161","153,477776",coffee
24.0,45.0,19,"26,85851927°C","48,8246387%","5,952384957","34,7426459",mothbeans
84.0,40.0,42,"26,2830571°C","73,35763537%","6,704273839","186,6898282",jute
40.0,64.0,16,"16,43340342°C","24,24045875%","5,926676985","140,3717815",kidneybeans
106.0,46.0,20,"23,43821725°C","78,63388824%","6,200671976","81,15072105",cotton
80.0,43.0,16,"23,55882094°C","71,59351368%","6,657964753","66,71995467",maize
87.0,6.0,45,"29,82729394°C","90,79007335%","6,40077205","22,84203589",muskmelon
33.0,134.0,205,"21,0365275°C","94,33919546%","6,08551916","114,7412734",apple
44.0,75.0,22,"30,0328403°C","64,14800537%","7,574561547","71,21006868",blackgram
118.0,12.0,47,"27,96872279°C","92,17444796%","6,010739645","28,94766949",muskmelon
4.0,136.0,204,"29,93707596°C","81,77713468%","5,898944282","65,52279323",grapes
6.0,59.0,21,"26,58972517°C","66,14007674%","6,139215944","50,90994463",lentil
106.0,10.0,49,"27,72653142°C","92,00687531%","6,350623739","20,21126747",muskmelon
25.0,132.0,198,"22,31944084°C","90,85174383%","5,732757516","100,1173443",apple
107.0,21.0,26,"26,45288458°C","55,32222678%","7,235070264","144,6861336",coffee
2.0,123.0,198,"39,64851881°C","82,21079946%","6,253034534","70,39906054",
40.0,16.0,35,"31,89356292°C","49,02450149%","6,4841522","89,59371481",mango
15.0,123.0,204,"22,52709326°C","92,54780429%","6,365972688","115,3830068",apple
3.0,134.0,199,"20,28370163°C","81,32235739%","5,81717753","71,06611222",Grapes
37.0,78.0,79,"19,95264829°C","14,82633099%","7,786366322","88,6810311",chickpea
120.0,40.0,33,"24,23850608°C","54,30329632%","6,73410539","115,1564012",coffee
99.0,29.0,55,"29,19378695°C","91,46241065%","6,660954816","26,48240255",muskmelon
120.0,23.0,55,"27,84492803°C","91,60666594%","6,732049075","26,47844429",muskmelon
2.0,61.0,20,"22,13974653°C","23,02251117%","5,95561668","76,64128258",kidneybeans
62.0,56.0,35,"25,97825807°C","81,65769588%","6,235357638","163,3488091",jute
116.0,25.0,50,"29,26092798°C","92,92367701%","6,088885814","28,70627683",muskmelon
81.0,18.0,50,"26,80750629°C","88,22874955%","6,429788073","58,79889057",watermelon
21.0,6.0,41,"24,88244467°C","89,39686219%","7,086947687","107,1951707",Pomegranate
19.0,51.0,25,"26,80474415°C","48,23991436%","3,5253661","43,87801983",mothbeans
22.0,62.0,16,"34,6455408°C","54,32342534%","4,828936119","180,9009998",pigeonpeas
14.0,25.0,40,"20,07386547°C","90,97819712%","6,407872061","103,7084055",pomegranate
16.0,139.0,203,"17,82803682°C","80,96093443%","6,27564088","65,84748763",grapes
3.0,9.0,45,"23,89162561°C","89,61850203%","6,535244251","104,617522",pomegranate
95.0,,46,"27,0767265°C","90,14362622%","6,74669542","24,4514648",muskmelon
59.0,69.0,80,"19,07937684°C","17,86754927%","8,165359297","69,40619137",chickpea
26.0,51.0,25,"28,76488954°C","52,62741529%","7,792508068","55,21606732",mothbeans
13.0,7.0,43,"18,20230419°C","91,12282162%","7,013481515","109,6623974",pomegranate
33.0,12.0,8,"25,26052689°C","90,31153735%","6,822282114","117,3695296",orange
93.0,22.0,48,"29,12533739°C","91,52291141%","6,776987974","21,90440445",muskmelon
121.0,53.0,19,"23,51308653°C","76,72621429%","7,976889498","80,11272117",cotton
99.0,56.0,17,"24,10859207°C","73,13112261%","6,234330356","71,07562236",maize
21.0,39.0,20,"27,06179658°C","52,3003173%","7,388007483","60,74583498",mothbeans
72.0,60.0,25,"18,52510753°C","69,0276233%","5,773454729","88,10234397",maize
40.0,62.0,19,"27,32198928°C","34,13737127%","4,697750704","96,51524028",pigeonpeas
38.0,135.0,203,"23,76121837°C","93,661643%","5,965551311","100,825956",apple
29.0,121.0,196,"22,84852833°C","94,32130209%","6,079497202","123,5977843",apple
99.0,5.0,47,"24,13078816°C","84,84494575%","6,649086972","51,19470197",watermelon
59.0,58.0,17,"28,546224°C","66,31394098%","7,368318809","62,83469851",blackgram
100.0,80.0,52,"27,53911354°C","77,25629897%","6,049801781","110,3262123",banana
131.0,38.0,19,"23,86814008°C","75,68339729%","6,814341946","90,4547185",cotton
7.0,15.0,32,"25,03512351°C","95,89739958%","6,182232762","174,796583",coconut
37.0,124.0,195,"18,70679077°C","83,4795292%","6,209928251","66,5964488",grapes
2.0,129.0,201,"22,78234161°C","94,36803516%","5,682343744","122,1449949",apple
32.0,11.0,31,"29,51611558°C","92,56492864%","6,461225827","131,2116167",coconut
53.0,74.0,15,"29,43463808°C","64,94329356%","7,517097","72,17818157",blackgram
28.0,27.0,34,"32,45465292°C","50,69693751%","6,526654345","95,04871605",mango
104.0,25.0,55,"29,81196601°C","90,36881284%","6,123802502","22,68766503",muskmelon
77.0,51.0,44,"23,25583402°C","82,7015932%","7,124333547","166,2160846",jute
104.0,80.0,54,"27,09062164°C","81,33506906%","5,879119455","110,1331182",banana
9.0,35.0,20,"27,41503453°C","80,98004661%","6,91380932","40,53173216",mungbean
4.0,20.0,41,"24,26601316°C","93,7974061%","6,537042717","104,5375109",pomegranate
30.0,44.0,16,"29,73013036°C","82,89166381%","6,442335593","50,91511275",mungbean
28.0,37.0,28,"32,13409675°C","50,52559148%","6,097869767","98,63333684",mango
26.0,,23,"29,98835437°C","49,60384796%","4,931890506","52,92929636",mothbeans
13.0,47.0,20,"29,21780035°C","87,93724219%","6,54450214","43,1386631",mungbean
17.0,57.0,21,"19,88394011°C","20,31564139%","5,789214289","60,91974792",kidneybeans
2.0,51.0,17,"25,87682261°C","45,96341933%","5,838508699","38,53254678",mothbeans
13.0,132.0,203,"23,60115364°C","82,48336987%","6,423216506","73,23901752",grapes
81.0,49.0,20,"18,04185513°C","60,61494304%","5,513697923","104,2321615",maize
94.0,89.0,48,"28,55980972°C","84,51602322%","5,653437902","111,0843029",banana
27.0,64.0,15,"20,16080524°C","24,84207559%","5,514927264","138,2362122",kidneybeans
74.0,35.0,40,"134,0°C","80,15836264%","6,980400905","242,8640342",rice
18.0,12.0,35,"26,13958446°C","96,38580769%","6,338720873","131,3387935",coconut
104.0,73.0,46,"29,1400919°C","80,1190228%","6,28236237","90,45142867",banana
25.0,130.0,197,"39,70772192°C","82,68593454%","5,554831977","74,91506217",Grapes
100.0,6.0,53,"29,05248036°C","93,92217834%","6,105909623","23,66620626",muskmelon
37.0,56.0,25,"22,05592283°C","19,60379304%","5,774755144","126,7265372",kidneybeans
28.0,59.0,22,"30,90607799°C","52,79913039%","7,05181629","170,9919828",pigeonpeas
108.0,24.0,31,"24,12832546°C","56,18107663%","6,431899748","147,2757818",coffee
125.0,60.0,17,"24,14386157°C","84,51591287%","6,785723961","80,36146974",cotton
36.0,43.0,22,"27,82684262°C","87,16679147%","6,389882166","58,37249772",mungbean
122.0,40.0,17,"24,96440768°C","81,31677618%","6,854558957","80,03995829",cotton
27.0,79.0,82,"17,06579293°C","17,54024066%","6,307004923","70,87150577",chickpea
23.0,142.0,197,"39,06555518°C","82,03812973%","6,000573725","69,30772897",grapes
29.0,145.0,205,"22,81227579°C","92,12992101%","6,212302608","109,3383552",apple
82.0,20.0,54,"29,34033587°C","90,01506395%","6,541150335","21,44532907",muskmelon
6.0,123.0,203,"12,7567962°C","81,62497448%","6,130310493","66,77844567",grapes
89.0,54.0,38,"24,51588066°C","83,5352163%","6,685346424","230,4462359",rice
83.0,23.0,55,"26,89750174°C","83,89241484%","6,463271076","43,97193745",watermelon
109.0,26.0,45,"28,27973674°C","90,38971208%","6,224535449","21,58992507",muskmelon
79.0,43.0,39,"21,66628296°C","80,70960551%","7,062779015","210,8142087",rice
83.0,21.0,28,"25,5674832°C","60,49244602%","7,466900683","190,2257843",coffee
6.0,139.0,199,"25,67385024°C","81,6212135%","6,29099842","74,10919422",grapes
10.0,141.0,201,"22,12659387°C","90,97818277%","6,386021424","104,5412275",apple
65.0,60.0,22,"25,36768364°C","72,52054555%","6,606984086","107,9124111",maize
3.0,136.0,205,"17,5862944°C","80,84806564%","6,334771461","71,4065452",grapes
12.0,20.0,39,"19,86173586°C","86,19740917%","6,026999326","111,0217929",Pomegranate
40.0,49.0,17,"31,02215872°C","45,89239456%","6,68727523","53,56783314",mothbeans
25.0,70.0,16,"19,63474332°C","18,90705639%","5,759237003","106,3598183",kidneybeans
31.0,29.0,26,"28,22373428°C","47,40519056%","5,024124684","97,76832322",mango
33.0,14.0,8,"21,03200078°C","92,9641969%","7,684420446","110,6823944",orange
47.0,63.0,16,"27,44003279°C","67,10464369%","6,661870999","72,50669768",blackgram
74.0,55.0,19,"18,05033737°C","62,89366992%","6,28886807","84,23613484",maize
14.0,23.0,25,"26,18552389°C","96,96637916%","5,612122797","135,4186222",coconut
37.0,74.0,15,"24,92360104°C","18,22590825%","5,582178402","62,7089169",kidneybeans
40.0,45.0,20,"29,37687468°C","57,69622912%","6,878498176","38,34303462",mothbeans
29.0,45.0,16,"28,43683487°C","87,91332682%","6,583381939","43,12063289",mungbean
27.0,13.0,6,"13,36050601°C","91,35608208%","7,335158382","111,2266885",orange
44.0,76.0,22,"27,26458947°C","68,01232937%","7,775306272","68,91754359",blackgram
